refFile;testFile;Mos;height;width;ssim;msssim;psnr;mse;vmaf;rmse;snr;wsnr;uqi;pbvif;niqe
amizade_weighed_sal_full_round;amizade_weighed_sal_full_qp17;;1920;3840;0.999923289;0.999908268;52.52307332;0.380983591;98.247576;0.002394481;38.37706152;50.79251629;0.906872583;0.993732672;9.717132568
amizade_weighed_sal_full_round;amizade_weighed_sal_full_qp23;;1920;3840;0.999782443;0.99974966;49.8888841;0.71447432;96.912212;0.003262188;35.74287229;45.97801351;0.873275522;0.985899784;9.85231781
amizade_weighed_sal_full_round;amizade_weighed_sal_full_qp29;;1920;3840;0.999444187;0.999345064;47.09693135;1.360802054;94.253731;0.004500568;32.95091954;41.38963217;0.823425264;0.968902783;10.20611572
amizade_weighed_sal_full_round;amizade_weighed_sal_full_qp35;;1920;3840;0.998546779;0.998271346;43.86115468;2.869852543;88.997095;0.00653388;29.71514287;36.74807426;0.737997992;0.93124509;10.97187233
amizade_10s_original;amizade_10s_qp17;;1920;3840;0.999584734;0.999433815;45.55399877;1.993177414;98.271668;0.007640874;38.27186795;52.28153943;0.78010315;0.996110519;10.17483425
amizade_10s_original;amizade_10s_qp23;;1920;3840;0.99879992;0.998426378;42.55849988;4.144154072;96.734669;0.010461062;35.60115213;47.65160873;0.708124405;0.99229947;10.41115665
amizade_10s_original;amizade_10s_qp29;;1920;3840;0.997078538;0.996046484;39.35656829;8.697813988;93.046485;0.014606952;32.70576357;43.09629626;0.63438436;0.987245297;11.07176208
amizade_10s_original;amizade_10s_qp35;;1920;3840;0.992453218;0.989657819;35.8148837;19.67588234;85.086994;0.020579807;29.73386695;38.32838814;0.535394775;0.971390809;12.30414677
